Driver_ID,Driver_Name,Age,Gender,License_Experience_Years,Date_Joined_Fleet,Primary_Vehicle_ID,Home_Hub,trips,km,hours,vehicles_used,avg_speed,mean_trip_max_speed,overspeed_minutes,moving_minutes,harsh_horiz_minutes,yaw_minutes,z_bump_minutes,overspeed_per_100km,harsh_horiz_per_100km,yaw_per_100km,severe_overspeed_per_100km,overspeed_share,rk_overspeed,rk_harsh,rk_yaw,rk_max_speed,risk_score,risk_band,top_contributor,p33_risk,p67_risk,why
D04,Ganesh Kannan,30,Female,1,2025-12-10,V04,HSR Layout,15,203.01,475,1,24.293333333333333,42.20666666666667,19,442,15,28,3,9.297535486443802,7.660988813713378,15.239537527181406,0.0,0.042986425339366516,63.33333333333333,40.0,83.33333333333334,70.0,63.83333333333333,Moderate,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Ganesh Kannan (D04) scored 63.8/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 203.0 km, 15 trips. Overspeed (speed > 42.4 km/h) 9.30/100 km; harsh IMU 7.66/100 km; yaw events 15.24/100 km; mean trip max speed 42.2 km/h."
D20,Sathish Iyer,24,Male,3,2025-02-05,V20,Attibele,15,189.45999999999998,380,1,24.5,40.333333333333336,8,353,26,27,5,5.5225008328499525,12.789962662160354,16.040961492476473,0.0,0.0226628895184136,43.333333333333336,73.33333333333333,90.0,43.333333333333336,62.5,Moderate,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Sathish Iyer (D20) scored 62.5/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 189.5 km, 15 trips. Overspeed (speed > 42.4 km/h) 5.52/100 km; harsh IMU 12.79/100 km; yaw events 16.04/100 km; mean trip max speed 40.3 km/h."
D25,Deepa Pillai,40,Male,4,2025-03-14,V25,Rajajinagar,15,206.6,439,1,23.19333333333333,41.32666666666667,17,399,21,27,36,9.05784476625812,9.520213712665754,13.924299019499756,0.0,0.042606516290726815,60.0,60.0,70.0,56.666666666666664,61.833333333333336,Moderate,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Deepa Pillai (D25) scored 61.8/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 206.6 km, 15 trips. Overspeed (speed > 42.4 km/h) 9.06/100 km; harsh IMU 9.52/100 km; yaw events 13.92/100 km; mean trip max speed 41.3 km/h."
D15,Meena Velu,24,Male,7,2024-10-12,V15,Bellandur,15,235.78,479,1,22.546666666666667,40.54,18,435,22,28,37,8.993416494301847,11.111756445290041,12.165233522985762,0.24384296513045597,0.041379310344827586,53.333333333333336,66.66666666666666,63.33333333333333,46.666666666666664,57.833333333333336,Moderate,harsh horizontal IMU spikes / 100 km,36.99999999999999,64.27777777777777,"Meena Velu (D15) scored 57.8/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: harsh horizontal IMU spikes / 100 km. Exposure: 235.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 8.99/100 km; harsh IMU 11.11/100 km; yaw events 12.17/100 km; mean trip max speed 40.5 km/h."
D08,Arun Raj,23,Male,10,2025-05-26,V08,Bellandur,15,214.18,466,1,24.6,42.04,16,435,18,18,9,9.447955411600358,9.515562808794094,9.422887237048432,0.4158868787689748,0.0367816091954023,66.66666666666666,56.666666666666664,40.0,63.33333333333333,56.83333333333333,Moderate,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Arun Raj (D08) scored 56.8/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 214.2 km, 15 trips. Overspeed (speed > 42.4 km/h) 9.45/100 km; harsh IMU 9.52/100 km; yaw events 9.42/100 km; mean trip max speed 42.0 km/h."
D13,Meena Kannan,39,Female,14,2025-11-16,V13,Electronic City,15,201.62,431,1,24.293333333333333,41.64,17,398,19,16,39,8.412160005045719,9.185443569309824,9.64580810334717,0.8726003490401396,0.04271356783919598,50.0,53.333333333333336,46.666666666666664,60.0,52.0,Moderate,mean trip max speed,36.99999999999999,64.27777777777777,"Meena Kannan (D13) scored 52.0/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: mean trip max speed. Exposure: 201.6 km, 15 trips. Overspeed (speed > 42.4 km/h) 8.41/100 km; harsh IMU 9.19/100 km; yaw events 9.65/100 km; mean trip max speed 41.6 km/h."
D07,Kavya Pillai,31,Male,12,2025-09-14,V07,Bommanahalli,15,217.02,462,1,25.273333333333333,41.1,20,425,19,21,3,9.009106017536265,8.199195307264832,9.498364505406942,0.5989817310572028,0.047058823529411764,56.666666666666664,43.333333333333336,43.333333333333336,53.333333333333336,49.33333333333334,Moderate,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Kavya Pillai (D07) scored 49.3/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 217.0 km, 15 trips. Overspeed (speed > 42.4 km/h) 9.01/100 km; harsh IMU 8.20/100 km; yaw events 9.50/100 km; mean trip max speed 41.1 km/h."
D10,Mohan Pillai,31,Male,4,2025-10-12,V10,Yeshwanthpur,15,203.26,470,1,21.466666666666665,38.626666666666665,12,424,17,17,28,5.189090007218776,12.109994686729033,10.96176392073129,0.3399626041135475,0.02830188679245283,36.666666666666664,70.0,53.333333333333336,33.33333333333333,48.5,Moderate,harsh horizontal IMU spikes / 100 km,36.99999999999999,64.27777777777777,"Mohan Pillai (D10) scored 48.5/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: harsh horizontal IMU spikes / 100 km. Exposure: 203.3 km, 15 trips. Overspeed (speed > 42.4 km/h) 5.19/100 km; harsh IMU 12.11/100 km; yaw events 10.96/100 km; mean trip max speed 38.6 km/h."
D27,Arun Chandran,34,Male,2,2025-09-30,V27,Rajajinagar,15,169.88,366,1,22.959999999999997,39.873333333333335,9,336,14,17,6,5.218350691822123,8.27017991801779,10.519314716059935,0.0,0.026785714285714284,40.0,46.666666666666664,50.0,40.0,44.166666666666664,Moderate,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Arun Chandran (D27) scored 44.2/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 169.9 km, 15 trips. Overspeed (speed > 42.4 km/h) 5.22/100 km; harsh IMU 8.27/100 km; yaw events 10.52/100 km; mean trip max speed 39.9 km/h."
D02,Senthil Nair,36,Male,2,2025-03-02,V02,HSR Layout,15,182.3,402,1,22.68,39.78666666666666,12,370,12,14,109,7.308923082152748,6.8374027961667005,7.4401290471413635,0.0,0.032432432432432434,46.666666666666664,36.666666666666664,26.666666666666668,36.666666666666664,37.166666666666664,Moderate,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Senthil Nair (D02) scored 37.2/100 (Moderate). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 182.3 km, 15 trips. Overspeed (speed > 42.4 km/h) 7.31/100 km; harsh IMU 6.84/100 km; yaw events 7.44/100 km; mean trip max speed 39.8 km/h."
D30,Gokul Velu,26,Male,2,2025-03-06,V30,Bellandur,15,239.92,474,3,22.366666666666667,40.94666666666667,6,427,15,19,4,3.590928293809888,6.368937266845649,7.8050207499937985,0.4042854255104104,0.01405152224824356,33.33333333333333,33.33333333333333,33.33333333333333,50.0,36.66666666666666,Safe,mean trip max speed,36.99999999999999,64.27777777777777,"Gokul Velu (D30) scored 36.7/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: mean trip max speed. Exposure: 239.9 km, 15 trips. Overspeed (speed > 42.4 km/h) 3.59/100 km; harsh IMU 6.37/100 km; yaw events 7.81/100 km; mean trip max speed 40.9 km/h."
D16,Sathish Chandran,34,Male,7,2024-06-16,V16,Bommanahalli,15,231.92,459,1,25.166666666666668,35.03333333333333,0,428,14,20,31,0.0,5.639684016574285,8.232283833119581,0.0,0.0,10.0,30.0,36.666666666666664,26.666666666666668,25.0,Safe,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Sathish Chandran (D16) scored 25.0/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 231.9 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.00/100 km; harsh IMU 5.64/100 km; yaw events 8.23/100 km; mean trip max speed 35.0 km/h."
D29,Rajesh Subramaniam,43,Male,11,2025-01-13,V29,Attibele,15,233.92000000000002,442,8,26.4,37.233333333333334,4,417,8,11,21,1.5648221253926633,4.134374328712545,4.850742704972685,0.0,0.009592326139088728,30.0,23.333333333333332,6.666666666666667,30.0,22.5,Safe,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Rajesh Subramaniam (D29) scored 22.5/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 233.9 km, 15 trips. Overspeed (speed > 42.4 km/h) 1.56/100 km; harsh IMU 4.13/100 km; yaw events 4.85/100 km; mean trip max speed 37.2 km/h."
D18,Revathi Raj,35,Male,9,2026-04-19,V18,Yeshwanthpur,15,193.75,400,1,25.259999999999998,33.193333333333335,0,386,8,14,5,0.0,5.635366344928936,7.512383235781452,0.0,0.0,10.0,26.666666666666668,30.0,13.333333333333334,19.833333333333336,Safe,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Revathi Raj (D18) scored 19.8/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 193.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.00/100 km; harsh IMU 5.64/100 km; yaw events 7.51/100 km; mean trip max speed 33.2 km/h."
D26,Anitha Chandran,31,Male,6,2024-07-13,V26,Attibele,15,209.68,419,3,24.833333333333332,34.986666666666665,1,383,6,10,29,0.33858134416793634,3.0746223673143467,4.926393576757206,0.0,0.0026109660574412533,23.333333333333332,20.0,10.0,23.333333333333332,19.166666666666668,Safe,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Anitha Chandran (D26) scored 19.2/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 209.7 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.34/100 km; harsh IMU 3.07/100 km; yaw events 4.93/100 km; mean trip max speed 35.0 km/h."
D05,Manoj Kumar,41,Male,4,2025-06-19,V05,Rajajinagar,15,258.6,482,1,23.02,32.406666666666666,1,459,4,17,10,0.35014005602240894,1.7185143675176309,7.302053156759177,0.0,0.002178649237472767,26.666666666666668,10.0,23.333333333333332,6.666666666666667,17.666666666666664,Safe,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Manoj Kumar (D05) scored 17.7/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 258.6 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.35/100 km; harsh IMU 1.72/100 km; yaw events 7.30/100 km; mean trip max speed 32.4 km/h."
D22,Priya Iyer,35,Male,3,2024-03-20,V22,MG Road,15,204.19,458,1,22.793333333333333,32.75333333333334,1,424,5,10,9,0.24996875390576176,2.6678480890088756,5.258475950331541,0.0,0.0023584905660377358,20.0,16.666666666666664,13.333333333333334,10.0,15.5,Safe,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Priya Iyer (D22) scored 15.5/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 204.2 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.25/100 km; harsh IMU 2.67/100 km; yaw events 5.26/100 km; mean trip max speed 32.8 km/h."
D11,Mohan Iyer,35,Male,6,2025-09-06,V11,Yeshwanthpur,15,197.43,357,1,25.273333333333333,34.84,0,338,2,9,3,0.0,0.7434919703898395,5.33083584591658,0.0,0.0,10.0,3.3333333333333335,20.0,16.666666666666664,12.166666666666668,Safe,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Mohan Iyer (D11) scored 12.2/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 197.4 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.00/100 km; harsh IMU 0.74/100 km; yaw events 5.33/100 km; mean trip max speed 34.8 km/h."
D09,Rajesh Raj,42,Male,8,2025-04-25,V09,Bellandur,15,239.86,396,1,25.706666666666667,34.873333333333335,0,371,7,9,5,0.0,2.2701885542695828,3.8970866778274096,0.0,0.0,10.0,13.333333333333334,3.3333333333333335,20.0,11.166666666666668,Safe,mean trip max speed,36.99999999999999,64.27777777777777,"Rajesh Raj (D09) scored 11.2/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: mean trip max speed. Exposure: 239.9 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.00/100 km; harsh IMU 2.27/100 km; yaw events 3.90/100 km; mean trip max speed 34.9 km/h."
D28,Praveen Iyer,37,Male,4,2024-12-05,V28,MG Road,15,211.75,400,1,21.953333333333333,31.42,0,374,2,10,21,0.0,0.7823307969690101,5.264030843252758,0.0,0.0,10.0,6.666666666666667,16.666666666666664,3.3333333333333335,9.499999999999998,Safe,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Praveen Iyer (D28) scored 9.5/100 (Safe). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 211.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 0.00/100 km; harsh IMU 0.78/100 km; yaw events 5.26/100 km; mean trip max speed 31.4 km/h."
